epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1707,0.81092,2.27977,3.50409,1.18051,0.00678,0.91095,0.421,0.35545,0.00658,0.88095,0.41465,0.34193,0.56612,1.39313,3.42759,0.99829,0.0001111,0.0001111,0.0001111
2,27.798,0.79134,1.71902,2.64493,1.15986,0.95687,0.14771,0.43695,0.34197,0.95687,0.14771,0.42946,0.31774,0.65669,2.47388,3.15492,1.05263,0.000231,0.000231,0.000231
3,38.5437,0.79405,1.41707,1.92185,1.18371,1,0.16257,0.7321,0.56619,1,0.16257,0.72024,0.53441,0.78438,2.36405,2.71681,1.16223,0.000348481,0.000348481,0.000348481
4,46.0925,0.80097,1.36609,1.55393,1.15185,0.92407,0.46977,0.80727,0.5852,0.92407,0.46977,0.7893,0.60539,0.93862,1.85639,2.39834,1.23938,0.000463541,0.000463541,0.000463541
5,56.1556,0.89498,1.5827,1.51787,1.14982,0.82547,0.50707,0.68284,0.48464,0.82547,0.50707,0.67905,0.50867,1.04953,2.11884,2.29023,1.38586,0.000576182,0.000576182,0.000576182
6,65.3071,0.85749,1.53327,1.38739,1.15662,0.81039,0.6892,0.75538,0.54872,0.79256,0.65439,0.72878,0.55182,1.03628,2.05224,1.89777,1.32397,0.000686404,0.000686404,0.000686404
7,76.8306,0.87878,1.48332,1.38793,1.16693,0.75481,0.49437,0.65314,0.50164,0.74232,0.47822,0.62397,0.48593,0.95853,2.23589,2.07223,1.3294,0.000794205,0.000794205,0.000794205
8,83.5672,0.80748,1.61183,1.2916,1.12099,0.81214,0.6534,0.75169,0.52836,0.72718,0.61553,0.69801,0.53149,0.92728,1.94111,1.91657,1.30161,0.000899587,0.000899587,0.000899587
9,93.2108,0.83272,1.47365,1.42946,1.15383,0.8004,0.69123,0.76861,0.55882,0.82803,0.66477,0.74024,0.5448,0.95628,2.54791,1.83718,1.32894,0.00100255,0.00100255,0.00100255
10,100.732,0.8389,1.37035,1.35434,1.18267,0.8552,0.59529,0.71312,0.4902,0.74571,0.57025,0.64889,0.48723,1.15246,2.97939,1.70793,1.48113,0.00101201,0.00101201,0.00101201
11,110.86,0.84288,1.61223,1.31031,1.13521,0.59249,0.61193,0.66222,0.43054,0.82575,0.45593,0.60577,0.42724,1.26953,2.63122,1.71637,1.60944,0.00100101,0.00100101,0.00100101
12,118.054,0.83072,1.38544,1.25486,1.16232,0.87036,0.54083,0.63385,0.44804,0.76623,0.53746,0.60644,0.3865,1.20071,4.12406,1.73203,1.55789,0.000990012,0.000990012,0.000990012
13,128.45,0.8245,1.56219,1.2863,1.1483,0.84851,0.50222,0.63983,0.39297,0.74228,0.41248,0.48123,0.25072,1.43315,6.32778,1.8948,1.76552,0.000979013,0.000979013,0.000979013
14,135.633,0.82035,1.36399,1.17382,1.13511,0.88155,0.5375,0.65253,0.46256,0.87411,0.49481,0.55765,0.38617,1.2365,4.7294,1.87362,1.62175,0.000968014,0.000968014,0.000968014
15,145.925,0.83079,1.34425,1.23975,1.17194,0.87987,0.49515,0.5934,0.4274,0.91556,0.49833,0.54215,0.3835,1.14068,4.00594,1.81378,1.47417,0.000957015,0.000957015,0.000957015
16,153.076,0.79533,1.34747,1.17756,1.10032,0.59266,0.63978,0.69806,0.4674,0.81204,0.39202,0.56221,0.37276,1.18876,3.40628,1.87433,1.48373,0.000946016,0.000946016,0.000946016
17,163.887,0.80372,1.369,1.12828,1.12973,0.70153,0.74786,0.78962,0.53673,0.8129,0.57302,0.65165,0.43841,1.09664,3.18585,1.65163,1.45466,0.000935018,0.000935018,0.000935018
18,171.98,0.82731,1.37931,1.10663,1.14038,0.78553,0.7336,0.81127,0.59625,0.90108,0.66384,0.80976,0.54095,0.98433,2.47214,1.27773,1.32107,0.000924019,0.000924019,0.000924019
19,183.072,0.82722,1.30794,1.13032,1.14552,0.82262,0.77354,0.82676,0.61811,0.81461,0.7664,0.81183,0.60904,0.94936,2.60783,1.22619,1.29827,0.00091302,0.00091302,0.00091302
